sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13
4095.0,4095.0,4095.0,0.43,8.72,3.0,-0.05,0.01,-0.0,4095.0,4095.0,4095.0,4095.0,4095.0
3018.0,4095.0,3311.0,-0.06,8.84,3.44,0.3,-0.37,-0.02,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,-0.11,8.71,3.56,-0.21,0.04,-0.02,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,0.39,8.9,3.22,-0.03,-0.06,0.03,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,-0.62,8.79,3.98,0.05,-0.06,0.1,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,-0.37,8.38,3.79,-0.23,0.05,-0.05,4095.0,4095.0,4095.0,4095.0,4095.0
2863.0,4095.0,3242.0,0.19,8.88,3.59,0.15,-0.11,-0.0,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,-0.36,8.66,3.94,-0.15,0.04,-0.03,4095.0,4095.0,4095.0,4095.0,4095.0
2930.0,3061.0,3126.0,0.35,8.29,3.26,-0.14,0.04,0.0,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,-0.8,8.37,4.85,-0.04,0.06,-0.11,4095.0,4095.0,4095.0,4095.0,4095.0
2836.0,4095.0,3183.0,0.03,8.73,3.34,0.09,-0.03,-0.03,3285.0,4058.0,3759.0,3522.0,4095.0
2742.0,3344.0,3200.0,-0.63,8.22,4.44,-0.36,-0.13,0.13,2681.0,4001.0,4095.0,3756.0,4095.0
2720.0,4091.0,3200.0,-0.26,8.13,4.81,-0.16,0.08,0.01,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,-0.31,8.5,4.65,0.26,-0.17,-0.03,4095.0,4095.0,3173.0,2854.0,4095.0
3006.0,3905.0,3180.0,-0.8,8.11,4.47,-0.37,0.04,0.17,3228.0,3667.0,3904.0,3855.0,4095.0
2845.0,3359.0,3185.0,0.36,8.02,4.77,-0.01,-0.05,0.04,4095.0,4095.0,4095.0,3248.0,4095.0
2474.0,3294.0,3043.0,0.17,8.01,5.06,-0.01,0.28,-0.12,4095.0,4095.0,4095.0,2710.0,3622.0
3010.0,4095.0,3194.0,-0.16,7.69,5.8,-0.26,-0.29,0.22,3630.0,4066.0,4095.0,3888.0,4095.0
3029.0,2943.0,3140.0,-0.22,7.49,5.37,-0.08,0.09,-0.06,4095.0,3924.0,4095.0,4095.0,4095.0
1294.0,4095.0,3147.0,0.63,7.79,6.2,-0.31,-0.19,0.03,4095.0,4095.0,4095.0,4095.0,4095.0
2999.0,2960.0,2967.0,0.03,7.25,6.01,-0.19,-0.03,0.04,3330.0,4095.0,3894.0,2926.0,4095.0
4095.0,4095.0,4095.0,-0.19,7.4,5.71,-0.33,-0.04,0.29,3826.0,3993.0,4095.0,3617.0,4095.0
2999.0,4095.0,3369.0,-0.33,7.03,6.56,0.2,-0.1,0.0,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,0.08,6.89,6.47,0.46,0.12,0.15,4095.0,3792.0,4095.0,3647.0,4095.0
2448.0,4095.0,3184.0,1.52,7.54,6.14,0.22,-1.34,-0.19,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,0.59,7.06,5.23,-0.76,-0.17,-0.03,4095.0,4095.0,4095.0,4033.0,4095.0
4095.0,4095.0,4095.0,3.22,4.63,8.04,-0.53,0.1,-0.05,4095.0,4095.0,4095.0,4095.0,4095.0
3921.0,4095.0,3601.0,1.68,4.58,7.89,-0.1,-0.03,-0.01,4095.0,4095.0,4095.0,4095.0,4095.0
2642.0,2882.0,3234.0,2.18,4.7,7.3,-0.21,0.13,0.05,4095.0,4095.0,4095.0,3898.0,4095.0
1893.0,1969.0,3141.0,0.3,5.19,7.48,0.43,0.7,-0.1,3712.0,3523.0,3712.0,3184.0,4095.0
2752.0,3445.0,3227.0,1.81,4.13,8.21,-0.86,0.03,0.03,4095.0,4095.0,4095.0,4095.0,4095.0
2854.0,4095.0,3212.0,1.7,3.68,8.53,0.0,-0.07,-0.1,4095.0,4095.0,4095.0,4095.0,4095.0
2808.0,4095.0,3211.0,1.45,4.31,7.75,-0.01,-0.14,-0.56,4095.0,4095.0,4095.0,4095.0,4095.0
1699.0,3564.0,3219.0,1.19,3.68,8.37,0.11,0.13,-0.02,4095.0,3760.0,4095.0,3955.0,4095.0
2697.0,2832.0,3227.0,0.87,4.29,8.11,-0.02,0.35,-0.1,4095.0,4095.0,4095.0,4095.0,4095.0
2655.0,2403.0,3204.0,1.38,4.65,8.4,-0.23,-0.11,0.11,4095.0,4095.0,4095.0,4087.0,4095.0
