hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,a
3126.0,3146.0,3805.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.68,9.07,-0.03,0.0,-0.02,a
3142.0,3155.0,3773.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.05,-0.03,0.0,-0.01,a
3137.0,3149.0,3789.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.65,9.06,-0.03,0.0,-0.02,a
3131.0,3171.0,3800.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.65,9.06,-0.03,0.0,-0.02,a
3141.0,3167.0,3799.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.65,9.06,-0.03,0.0,-0.01,a
3138.0,3167.0,3794.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.67,9.1,-0.03,0.0,-0.01,a
3136.0,3163.0,3785.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.66,9.05,-0.03,0.0,-0.02,a
3138.0,3153.0,3809.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.66,9.07,-0.03,0.0,-0.01,a
3146.0,3158.0,3791.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.65,9.05,-0.03,0.0,-0.01,a
3141.0,3165.0,3802.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.66,9.07,-0.03,0.0,-0.01,a
3133.0,3171.0,3792.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.1,-0.03,0.0,-0.01,a
3136.0,3171.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.02,-0.03,0.0,-0.02,a
